compound_id|flavor_id|flavor_name
15975|531|herbal
15975|800|terpene
15975|814|tropical
15976|54|woody
15976|67|musty
15976|195|must
15976|453|dry
15977|54|woody
15977|68|earthy
15977|195|must
15977|213|pungent
15981|103|minty
15981|223|sharp
15981|675|phenolic
15989|81|fruity
15989|164|fruit
15989|172|herb
15989|531|herbal
15994|103|minty
15994|228|spearmint
15995|8|caraway
15995|21|spicy
15995|44|sweet
15995|190|mint
15995|228|spearmint
15998|54|woody
15998|135|camphor
15998|242|turpentine
15998|531|herbal
16003|44|sweet
16003|81|fruity
16003|103|minty
16003|610|mild
16010|44|sweet
16010|102|tobacco
16010|531|herbal
16011|81|fruity
16013|36|anise
16013|37|balsam
16013|39|caramel
16013|44|sweet
16013|52|maple
16013|178|licorice
16013|471|fenugreek
16013|788|sugar
16014|39|caramel
16014|44|sweet
16014|52|maple
16033|103|minty
16033|531|herbal
16057|21|spicy
16057|54|woody
16057|68|earthy
16057|154|earth
16057|192|moss
16057|245|warm
16058|188|metal
16058|504|ginger
16116|13|butter
16116|15|creamy
16116|17|oily
16116|44|sweet
16116|70|apricot
16116|75|coconut
16116|81|fruity
16116|83|peach
16116|86|plum
16116|162|fresh
16116|434|dairy
16128|18|fatty
16129|643|odorless
16131|72|berry
16131|79|jam
16131|81|fruity
16131|86|plum
16131|529|heliotrope
16131|684|powdery
16131|814|tropical
16136|40|chocolate
16136|98|nutty
16136|362|caramellic
16136|711|roasted
16137|44|sweet
16137|59|green
16137|81|fruity
16137|610|mild
16139|13|butter
16139|14|cheese
16139|15|creamy
16139|75|coconut
16139|349|buttermilk
16139|350|buttery
16139|434|dairy
16140|643|odorless
16141|33|floral
16142|59|green
16142|104|pepper
16142|531|herbal
16142|697|raw
16143|57|meaty
16143|711|roasted
16144|21|spicy
16144|41|cinnamon
16144|245|warm
16144|275|allspice
16144|776|soft
16147|21|spicy
16147|33|floral
16147|41|cinnamon
16148|81|fruity
16148|854|winey
16149|81|fruity
16151|6|potato
16151|68|earthy
16151|99|peanut
16151|118|baked
16151|197|nut
16151|217|roast
16151|711|roasted
16152|59|green
16152|223|sharp
16153|59|green
16153|68|earthy
16153|98|nutty
16153|141|coffee
16153|232|sweat
16154|410|cooked
16154|711|roasted
16155|711|roasted
16156|57|meaty
16158|5|vegetable
16158|59|green
16158|68|earthy
16158|164|fruit
16158|197|nut
16158|720|rooty
16158|814|tropical
16159|57|meaty
16160|57|meaty
16160|711|roasted
16161|2|corn
16161|59|green
16161|95|sulfurous
16161|131|burnt
16161|140|cocoa
16161|639|nut skin
16162|44|sweet
16162|54|woody
16162|123|bitter
16162|627|naphthalic
16162|630|narcissus
16163|7|tomato
16163|30|lavender
16163|54|woody
16163|59|green
16163|328|blueberry
16163|531|herbal
16164|81|fruity
16165|81|fruity
16166|44|sweet
16166|67|musty
16166|68|earthy
16166|531|herbal
16167|59|green
16167|66|mushroom
16167|384|chicken coop
16167|635|new mown hay
16168|15|creamy
16168|66|mushroom
16168|602|melon rind
16168|848|waxy
16169|59|green
16169|129|broccoli
16169|306|bean
16169|850|weedy
16170|593|malty
16171|98|nutty
16171|128|bread
16171|211|popcorn
16171|379|cereal
16172|57|meaty
16172|95|sulfurous
16172|133|cabbage
16173|66|mushroom
16173|67|musty
16174|21|spicy
